,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,audio_valence
40,Last Nite,70.0,193373.0,0.0223,0.624,0.899,0.000155,0.0,0.0975,-5.71,1.0,0.0295,104.055,0.797
41,Through Glass,60.0,282946.0,0.0417,0.545,0.753,0.0,3.0,0.389,-4.618,0.0,0.036,105.754,0.434
42,The Diary of Jane - Single Version,69.0,200546.0,5.53e-05,0.374,0.961,0.0834,,0.138,-4.421,0.0,0.0851,167.032,0.357
43,Down With the Sickness,73.0,279213.0,0.000996,0.695,0.8759999999999999,6.89e-06,3.0,0.106,-4.262,0.0,0.0553,89.954,0.941
44,Wish You Were Here,62.0,212733.0,0.0006309999999999,0.246,0.768,0.301,9.0,0.102,-7.48,1.0,0.0387,169.873,0.35
45,Youth Of The Nation,72.0,256240.0,0.00834,0.563,0.86,0.0106,8.0,0.39,-7.532999999999999,1.0,0.0621,97.867,0.517
46,Vertigo,57.0,194520.0,0.000153,0.391,0.831,0.0019199999999999,2.0,0.141,-3.892,1.0,0.0613,139.946,0.6829999999999999
47,Miss Murder,71.0,206586.0,0.000213,0.309,0.875,0.00168,1.0,0.113,-4.49,1.0,0.0488,143.526,0.725
48,I Bet You Look Good On The Dancefloor,63.0,173680.0,0.00225,0.535,0.948,0.0,6.0,0.376,-4.19,0.0,0.0356,103.183,0.778
49,"Steady, As She Goes",64.0,215266.0,0.0132,0.524,0.578,0.00921,9.0,0.108,-4.563,1.0,0.12,123.669,0.537
50,Falling Away from Me,71.0,270920.0,0.00014,0.4679999999999999,0.769,0.00124,4.0,0.271,-7.0360000000000005,1.0,0.0409999999999999,104.102,0.17
51,Crawling In The Dark,61.0,175026.0,0.000295,0.5920000000000001,0.932,7.59e-05,6.0,0.138,-4.4910000000000005,0.0,0.0885,93.675,0.698
52,I Stand Alone,67.0,246040.0,4.78e-05,0.213,0.93,0.0,0.0,0.126,-4.478,1.0,0.0671,169.22099999999998,0.386
53,Woman,63.0,176306.0,5.1e-05,0.2189999999999999,0.952,0.0989,2.0,0.157,-3.621,1.0,0.176,112.886,0.172
54,Show Me How to Live,72.0,277840.0,0.000336,0.433,0.8540000000000001,0.000177,9.0,0.162,-3.868,1.0,0.0483,89.4,0.368
55,The Red,71.0,238400.0,0.000671,0.509,0.843,0.0008029999999999,1.0,0.348,-3.318,0.0,0.0488,140.055,0.332
56,Remedy,70.0,207213.0,0.00018,0.546,0.959,0.00144,8.0,0.0584,-4.664,1.0,0.0819999999999999,127.831,0.416
57,Plug In Baby,65.0,218000.0,6.94e-06,0.408,0.965,0.0004019999999999,2.0,0.11,-4.232,1.0,0.05,136.018,0.349
58,Change (In the House of Flies) - In The House Of Flies LP Version,69.0,299533.0,0.000249,0.2689999999999999,0.853,0.000246,7.0,0.118,-4.647,0.0,0.0854,141.58100000000002,0.179
59,Judith,66.0,247266.0,3.32e-05,0.365,0.894,0.171,11.0,0.267,-4.682,0.0,0.0572,82.305,0.31
60,MIA (feat. Drake),94.0,210367.0,0.0143,0.818,0.54,0.000512,6.0,0.099,-6.35,0.0,0.0544,97.064,0.174
61,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",98.0,212500.0,0.153,0.841,0.7979999999999999,3.33e-06,1.0,0.0618,-4.206,0.0,0.2289999999999999,95.948,0.591
62,White Boi,59.0,185282.0,0.0983,0.83,,0.0,1.0,0.0906,-6.94,1.0,0.052,127.965,0.634
63,Just Wanna Love You (feat. J. Balvin),73.0,199230.0,0.0557,0.687,0.7659999999999999,0.00107,11.0,0.146,-6.08,1.0,0.054,94.973,0.303
64,Beautiful (feat. Camila Cabello),94.0,180000.0,0.346,0.638,0.7170000000000001,0.0,2.0,0.105,-4.722,1.0,0.0337,100.027,0.249
65,Celoso,87.0,179693.0,0.352,0.746,0.703,0.0,4.0,0.331,-4.178999999999999,0.0,0.107,166.043,0.667
66,Good Vibes,73.0,235720.0,0.0348,0.823,0.63,6.72e-06,7.0,0.0964,-3.932,1.0,0.0797,100.04,0.184
67,Real Friends,85.0,223583.0,0.235,0.701,0.512,5.07e-06,0.0,0.135,-6.869,0.0,0.0969,91.947,0.6629999999999999
68,Pa La Calle,61.0,243487.0,0.1169999999999999,0.695,0.884,0.0,0.0,0.104,-6.279,1.0,0.131,74.992,0.8540000000000001
69,Pa Mí,58.0,210865.0,0.716,0.722,0.584,0.000321,11.0,0.115,-8.467,0.0,0.318,169.97799999999998,0.6459999999999999
70,Wake Up in the Sky,92.0,204664.0,0.00381,0.8,0.578,0.0,4.0,0.359,-5.144,0.0,0.0485,143.01,0.367
71,,83.0,215151.0,0.266,0.8170000000000001,0.74,0.0,11.0,0.0992,-4.566,0.0,0.283,130.04,0.674
72,Banana Clip - Spanish Version,57.0,202373.0,0.107,0.3979999999999999,0.66,0.0,1.0,0.121,-5.626,0.0,0.12,83.82799999999999,0.7190000000000001
73,YAKWTFGO (feat. Kali Uchis),44.0,162733.0,0.00397,0.812,0.748,0.0,5.0,0.174,-5.959,0.0,0.139,132.035,0.158
74,Come With Me,47.0,157461.0,0.0526,0.659,0.7340000000000001,2.48e-06,10.0,0.242,-4.008,1.0,0.046,161.971,0.346
75,Como Si Na,54.0,170997.0,0.2319999999999999,0.705,0.778,0.0,9.0,0.244,-4.101,0.0,0.177,160.099,0.7090000000000001
76,Blah,47.0,188440.0,0.0255,0.723,0.687,0.000207,11.0,0.124,-4.632,0.0,0.2,173.747,0.777
77,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),64.0,253714.0,0.0257,0.928,0.402,0.0,8.0,0.0804,-7.569,0.0,0.451,139.998,0.62
78,Mi Infinita,56.0,272000.0,0.902,0.465,0.675,0.267,10.0,0.11,-7.555,1.0,0.0485,119.941,0.129
79,Coqueta,49.0,174000.0,0.5710000000000001,0.632,0.652,0.85,4.0,0.1939999999999999,-10.558,1.0,0.0302,115.031,0.594
80,Sola,65.0,209573.0,0.921,0.471,0.179,0.0,9.0,0.1009999999999999,-10.273,1.0,0.089,174.273,0.1939999999999999
81,Nuestro Planeta (feat. Reykon),52.0,202754.0,0.0857,0.871,0.545,0.000499,0.0,0.0756,-6.466,0.0,0.0625,96.035,0.415
82,Hijo de Su Madre,61.0,178009.0,0.0646,0.8290000000000001,0.606,0.391,5.0,0.281,-7.093,1.0,0.149,118.051,0.732
83,Lento,65.0,169251.0,0.149,0.8370000000000001,0.649,7.63e-05,11.0,0.103,-5.26,0.0,0.192,164.002,0.948
84,Dicen,77.0,220826.0,0.1369999999999999,0.8170000000000001,0.635,7.85e-06,5.0,0.245,,0.0,0.138,103.029,0.777
85,BEBE,95.0,217822.0,0.172,0.635,0.902,0.0,0.0,0.125,-3.559,1.0,0.109,102.063,0.286
86,I Like It,95.0,253390.0,0.099,0.816,0.726,0.0,5.0,0.372,-3.998,0.0,0.129,136.048,0.65
87,Zooted (feat. French Montana & Farruko),74.0,217652.0,0.267,0.815,0.626,1.31e-05,6.0,0.275,-5.138999999999999,1.0,0.103,109.989,0.5710000000000001
88,Havana - Remix,77.0,199095.0,0.3979999999999999,0.7509999999999999,0.579,2.28e-05,2.0,0.133,-4.0360000000000005,1.0,0.0321,105.031,0.349
89,Pum Pum,45.0,185743.0,0.0749,0.736,0.906,0.000123,4.0,0.12,-1.49,0.0,0.0566,93.013,0.611
90,Quiero Saber,52.0,166253.0,0.00245,0.695,0.818,3.36e-06,6.0,0.305,-5.532,0.0,0.0482,102.976,0.599
91,Como,38.0,234373.0,0.00323,0.5429999999999999,0.847,0.0,9.0,0.0551,-3.574,1.0,0.0659,92.046,0.65
92,Anywhere Contigo,46.0,193846.0,0.271,0.841,0.841,2.6e-05,9.0,0.108,-4.288,1.0,0.0633,104.01,0.823
93,No Gratis,44.0,208800.0,0.425,0.777,0.546,0.0,7.0,0.0809,-9.504,1.0,0.207,147.173,0.952
94,Díganle - Tainy Remix,75.0,211437.0,0.102,0.84,0.789,0.0,1.0,0.309,-4.695,0.0,0.0949,92.018,0.619
95,Sangria Wine,75.0,202853.0,0.181,0.831,0.713,0.0,1.0,0.0572,-3.646,0.0,0.094,132.109,0.69
96,All Day,45.0,198386.0,0.0797,0.825,0.481,0.0,2.0,0.239,-8.6,1.0,0.0396,121.046,0.7609999999999999
97,Just As I Am,53.0,224413.0,0.235,0.682,0.7509999999999999,0.0,8.0,0.11,,0.0,0.0675,129.937,0.708
98,Nice & Slow,38.0,218448.0,0.00694,0.799,0.616,0.00237,5.0,0.283,-4.599,0.0,0.0415,127.023,0.6970000000000001
99,Scooby Doo Pa Pa (Remix),60.0,176702.0,0.196,0.921,0.965,0.0002009999999999,1.0,0.3229999999999999,-1.396,1.0,0.178,120.902,0.507
100,Don't Werk,39.0,133120.0,0.108,0.703,0.617,5.610000000000001e-05,7.0,0.271,-8.732000000000001,1.0,0.0731,123.159,0.435
101,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88.0,201526.0,0.165,0.792,0.895,0.0,1.0,0.0501,-3.112,0.0,0.0589,94.968,0.794
102,Pa Mi (with Ozuna),77.0,216689.0,0.0983,0.596,0.557,0.0,1.0,0.0565,,0.0,0.134,133.247,0.6609999999999999
103,Lo Siento,68.0,226183.0,0.0705,0.746,0.738,0.0,9.0,0.043,-3.67,1.0,0.207,94.808,0.63
104,Nuestra Cancion Pt. 2 (feat. Arcángel),46.0,215003.0,0.0079,0.493,0.825,0.0,8.0,0.129,-4.056,1.0,0.0798,99.866,0.621
105,La Hora Loca,44.0,175239.0,0.0429,0.836,0.725,0.0,7.0,0.108,-5.445,0.0,0.0571,126.035,0.76
106,Dinero - English Version,37.0,161093.0,0.00436,0.701,0.779,0.0,11.0,0.121,-4.657,0.0,0.0647,119.974,0.451
107,Pum Pum (feat. Kap G & Play-N-Skillz),53.0,182224.0,0.149,0.871,0.563,0.0,10.0,0.0568,-8.329,0.0,0.0795,91.998,0.62
108,Hora Loca,65.0,215421.0,0.0507,0.65,0.8009999999999999,0.0,7.0,0.0645,-5.407,0.0,0.0723,166.16,0.74
109,Better With You,68.0,196018.0,0.265,0.784,0.437,6.979999999999999e-05,5.0,0.126,-7.867999999999999,1.0,0.0509,90.00299999999999,0.47
110,NIGHTS LIKE THESE,59.0,204453.0,0.133,0.494,0.7290000000000001,0.0,2.0,0.143,-4.934,1.0,0.161,78.833,0.421
111,Alright,43.0,229038.0,0.0199,0.561,0.58,0.0,5.0,0.0619,-5.612,1.0,0.0414,84.98,0.294
112,Insecure,53.0,191906.0,0.369,0.483,0.685,0.0,10.0,0.0817,-3.232,0.0,0.174,185.502,0.546
113,Si Una Vez - (If I Once)[Spanglish Version],54.0,237860.0,0.0762,0.62,0.823,3.13e-05,5.0,0.1119999999999999,-2.436,1.0,0.0567,175.921,0.4039999999999999
114,Finesse (Remix) [feat. Cardi B],84.0,217288.0,0.0185,0.7040000000000001,0.8590000000000001,0.0,5.0,0.0215,-4.877,0.0,0.0996,105.115,0.926
115,Belong To U,44.0,,0.586,0.633,0.765,6.890000000000001e-05,1.0,0.0966,-5.732,1.0,0.0474,100.934,0.489
116,Sunny Daze,40.0,167823.0,0.569,0.853,0.7140000000000001,0.0101,7.0,0.0716,-6.1770000000000005,1.0,0.0767,92.375,0.836
117,"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41.0,241135.0,0.0652,0.8,0.8370000000000001,4.52e-05,7.0,0.0699,-4.488,1.0,0.099,105.026,0.813
118,Island,37.0,194011.0,0.118,0.743,0.7929999999999999,6.07e-05,2.0,0.2269999999999999,-5.032,0.0,0.0546,109.921,0.434
119,Crazy In Love,79.0,236133.0,0.00249,0.6459999999999999,0.77,0.0,2.0,0.0715,-6.596,0.0,0.226,99.165,0.6809999999999999
120,Rock Your Body,74.0,267266.0,0.2019999999999999,0.8909999999999999,0.7140000000000001,0.000234,4.0,0.0521,-6.055,0.0,0.14,100.972,0.818
121,Beautiful Girls,10.0,241933.0,0.159,0.745,0.6659999999999999,0.0,9.0,0.302,-5.899,1.0,0.0566,129.995,0.708
122,Toxic,60.0,198813.0,0.0279,0.774,0.847,0.0183,5.0,0.241,-3.925,0.0,0.121,143.011,0.923
123,Michael Jackson x Mark Ronson: Diamonds are Invincible,70.0,300026.0,0.342,0.672,0.8320000000000001,0.000428,11.0,0.242,-2.388,0.0,0.342,117.298,0.5489999999999999
124,Yeah!,79.0,250373.0,0.0183,0.894,0.7909999999999999,0.0,2.0,0.0388,-4.699,1.0,0.1119999999999999,105.018,0.583
125,Live Your Life (feat. Rihanna),76.0,338853.0,0.071,0.375,0.862,0.0,11.0,0.211,-3.363,0.0,0.255,159.841,0.478
126,Hips Don't Lie,84.0,218093.0,0.284,0.778,0.8240000000000001,0.0,10.0,0.405,-5.892,0.0,0.0712,100.024,0.7559999999999999
127,"Hey, Soul Sister",77.0,216666.0,0.217,0.675,0.885,0.0,1.0,0.086,-4.432,0.0,0.0436,97.03,0.768
128,Pumped Up Kicks,84.0,239600.0,0.145,0.733,0.71,0.115,5.0,0.0956,-5.849,0.0,0.0292,127.975,0.965
129,Love Never Felt so Good,74.0,246026.0,0.132,0.775,0.7190000000000001,1.79e-06,7.0,0.0662,-6.212000000000001,0.0,0.0435,117.513,0.7120000000000001
130,Hall of Fame,73.0,202533.0,0.0653,0.421,0.873,0.0,10.0,,-4.343,1.0,0.0565,84.803,0.63
131,All of Me,85.0,269560.0,0.922,0.422,0.264,0.0,8.0,0.132,-7.064,1.0,0.0322,119.93,0.331
132,Drops of Jupiter,78.0,259933.0,0.154,0.4679999999999999,0.64,0.0,0.0,0.154,-5.862,1.0,0.0275,79.297,0.499
133,We Can't Stop,78.0,231240.0,0.00882,0.613,0.622,0.0,1.0,0.37,-5.794,0.0,0.0334,80.003,0.484
134,Fighter,69.0,245960.0,0.235,0.435,0.92,0.0003529999999999,4.0,0.552,-1.357,0.0,0.201,188.899,0.45
135,Since U Been Gone,75.0,188960.0,0.00165,0.662,0.741,0.0303,0.0,0.114,-5.406000000000001,1.0,0.0334,131.0,0.4039999999999999
136,Hey Ya! - Radio Mix / Club Mix,76.0,235213.0,0.103,0.728,0.974,0.000532,4.0,0.175,-2.261,0.0,0.0665,79.52600000000001,0.965
137,TiK ToK,71.0,199693.0,0.0746,0.755,0.8320000000000001,1.27e-06,2.0,0.291,-2.741,0.0,0.1159999999999999,120.032,0.735
138,Look At Me Now,71.0,223933.0,0.0439,0.764,0.6940000000000001,3.67e-06,11.0,0.18,-5.745,0.0,0.1889999999999999,146.075,0.581
139,SexyBack,77.0,242733.0,0.0584,0.967,0.583,0.0,7.0,0.0519,-5.562,0.0,0.0789,117.0,0.964
140,With You,69.0,252160.0,0.143,0.659,0.696,0.0,3.0,0.13,-4.291,1.0,0.071,86.001,0.665
141,Breakeven,76.0,261426.0,0.173,0.63,0.698,0.0,10.0,0.0789,-4.51,1.0,0.0244,94.023,0.529
142,I Know You Want Me (Calle Ocho),65.0,237120.0,0.0142,0.8240000000000001,0.743,2.12e-05,2.0,0.237,-5.995,1.0,0.141,127.046,0.804
143,Bye Bye Bye,73.0,200400.0,0.031,0.61,0.926,0.0012,8.0,0.0821,-4.843,0.0,0.0479,172.638,0.861
144,Complicated,77.0,244506.0,0.0572,0.585,0.7759999999999999,7.74e-06,5.0,0.3,-5.898,1.0,0.0459,77.987,0.427
145,Let Me Love You,80.0,256733.0,0.235,0.6559999999999999,0.578,0.0,7.0,0.118,-8.97,0.0,0.0922,94.514,0.556
146,Beautiful,73.0,238560.0,0.578,0.457,0.573,3.05e-06,5.0,0.114,-3.866,0.0,0.0275,76.193,0.0992
147,Raise Your Glass,54.0,203306.0,0.00611,0.701,0.7,0.0,7.0,0.0295,-4.934,1.0,0.0876,122.035,0.625
148,Timber,75.0,204160.0,0.0295,0.581,0.963,0.0,11.0,0.139,-4.087,1.0,0.0981,129.99200000000002,0.7879999999999999
149,What Makes You Beautiful,69.0,198053.0,0.00761,0.7290000000000001,0.7709999999999999,0.0,4.0,0.087,-2.451,1.0,0.0725,125.011,0.873
150,No One,79.0,253813.0,0.03,0.649,0.552,6.47e-06,1.0,0.111,-5.419,0.0,0.0292,89.969,0.158
151,Sk8er Boi,67.0,204000.0,6.790000000000001e-05,0.487,0.9,0.0,0.0,0.358,-4.417,1.0,0.0482,149.937,0.484
152,Womanizer,76.0,224400.0,0.073,0.7240000000000001,0.695,0.0,11.0,0.0889,-5.226,1.0,0.0622,139.0,0.235
153,Give Me Everything,75.0,252306.0,0.192,0.6709999999999999,0.939,0.0,8.0,0.298,-3.2060000000000004,1.0,0.161,129.023,0.529
154,Single Ladies (Put a Ring on It),72.0,193213.0,0.0383,0.426,0.584,0.0,1.0,0.188,-5.292999999999999,1.0,0.296,193.437,0.272
155,Bleeding Love,81.0,262466.0,0.188,0.638,0.6559999999999999,0.0,5.0,0.146,-5.886,1.0,0.0357,104.036,0.225
156,Lose My Breath,63.0,242013.0,0.00727,0.8140000000000001,0.899,0.2189999999999999,1.0,0.0979,-5.957999999999999,1.0,0.0637,119.011,0.545
157,Love Song,77.0,258826.0,0.0208,0.583,0.7859999999999999,0.0,2.0,0.188,-3.142,0.0,0.0301,123.052,0.573
158,Ms. Jackson,78.0,270506.0,0.142,0.843,0.805,0.0,4.0,0.0771,-5.946000000000001,0.0,0.2689999999999999,94.946,0.615
159,Die Young,72.0,211920.0,0.00498,0.711,0.7,0.000125,1.0,0.215,-4.805,0.0,0.046,128.001,0.8009999999999999
160,,62.0,254040.0,0.0533,0.524,0.904,0.0,8.0,0.7759999999999999,-2.071,1.0,0.3979999999999999,161.188,0.655
161,Oops!...I Did It Again,77.0,211160.0,0.3,0.7509999999999999,0.8340000000000001,1.77e-05,1.0,0.355,-5.444,0.0,0.0437,95.053,0.894
162,Cry Me a River,77.0,288333.0,0.575,0.624,0.653,0.0,8.0,0.104,-6.582000000000001,0.0,0.176,,0.565
163,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77.0,248413.0,0.0426,0.794,0.8109999999999999,1.07e-06,6.0,0.1009999999999999,-8.966000000000001,0.0,0.038,116.047,0.862
164,Whatever You Like,75.0,249533.0,0.0161,0.68,0.687,0.0,9.0,0.261,-6.162000000000001,0.0,0.0709,150.053,0.467
165,"One, Two Step",78.0,203786.0,0.042,0.944,0.511,0.00107,,0.0379,-10.96,0.0,0.161,113.046,0.8420000000000001
166,Unwritten,77.0,259333.0,0.00577,0.706,0.8009999999999999,0.0,5.0,0.0822,-6.332999999999999,1.0,0.0399,100.013,0.63
167,Wrecking Ball,74.0,221360.0,0.407,0.53,0.422,0.0,5.0,0.107,-6.2620000000000005,1.0,0.0342,119.964,0.349
168,So What,65.0,215160.0,0.000304,0.535,0.8859999999999999,2.26e-06,11.0,0.257,-3.1060000000000003,1.0,0.045,126.012,0.445
169,"Whenever, Wherever",76.0,196160.0,0.236,0.7929999999999999,0.8320000000000001,1.12e-05,1.0,0.2019999999999999,-4.862,0.0,0.0406,107.661,0.872
170,Baby Boy,69.0,244826.0,0.0825,0.655,0.488,1.16e-06,1.0,0.221,-9.17,1.0,0.22,91.025,0.7909999999999999
171,It's Gonna Be Me,67.0,192426.0,0.0407,0.636,0.873,1.27e-06,0.0,0.0372,-4.672,0.0,0.071,165.071,0.908
172,My Boo,77.0,223440.0,0.257,0.662,0.507,0.0,5.0,0.0465,-8.238,1.0,0.118,86.412,0.6759999999999999
173,Sex on Fire,81.0,203346.0,0.00172,0.542,0.905,0.0104,9.0,0.136,-5.653,1.0,0.054,153.398,0.374
174,Stronger (What Doesn't Kill You),52.0,221920.0,0.0411,0.555,0.923,0.0,0.0,0.1119999999999999,-5.908,1.0,0.0482,116.012,0.682
175,Over My Head (Cable Car),60.0,236373.0,0.0204,0.591,0.6990000000000001,0.0,8.0,0.0614,-5.221,1.0,0.0449,116.029,0.733
176,For the First Time,65.0,252853.0,0.0328,0.396,0.629,0.0,9.0,0.183,-4.78,1.0,0.0287,173.794,0.358
177,Girlfriend,69.0,216600.0,0.0007379999999999,0.56,0.959,0.000206,7.0,0.209,-2.4330000000000003,1.0,0.102,163.983,0.67
178,Fallin',76.0,210200.0,0.263,0.653,0.609,0.00101,11.0,0.233,-7.519,0.0,0.037,95.982,0.482
179,Use Somebody,79.0,230760.0,0.00552,0.276,0.715,0.000417,0.0,0.201,-5.356,1.0,0.0432,137.028,0.173
180,How to Save a Life,83.0,262533.0,0.2689999999999999,0.64,0.743,0.0,10.0,0.1009999999999999,-4.08,1.0,0.0379,122.035,0.361
181,Not Over You,,218520.0,0.255,0.63,0.894,0.0,10.0,0.181,-4.592,1.0,0.0544,142.05100000000002,0.364
182,Before He Cheats,73.0,199946.0,0.271,0.519,0.7490000000000001,,6.0,0.119,-3.318,0.0,0.0405,147.905,0.29
183,Dirrty (feat. Redman),72.0,298853.0,0.107,0.64,0.889,0.0,2.0,0.3389999999999999,-3.073,1.0,0.322,99.931,0.436
184,Caught Up,31.0,224946.0,0.0251,0.815,0.8079999999999999,5.37e-06,6.0,0.12,-4.614,1.0,0.0511,110.063,0.746
185,If I Ain't Got You,81.0,228706.0,0.603,0.609,0.445,6.77e-06,7.0,0.104,-9.129,1.0,0.106,118.393,0.166
186,Wherever You Will Go,67.0,209360.0,0.0392,0.551,0.696,0.0,2.0,0.127,-6.192,1.0,0.0265,112.024,0.354
187,You Found Me,76.0,241853.0,0.0187,0.3379999999999999,0.8029999999999999,0.0,8.0,0.136,-5.412000000000001,0.0,0.0413,151.994,0.4
188,"Independent Women, Pt. 1",63.0,221626.0,0.3879999999999999,0.517,0.598,2.22e-06,6.0,0.183,-3.751,0.0,0.263,96.933,0.922
189,Because of You,75.0,219493.0,0.254,0.583,0.584,0.0,5.0,0.123,-5.362,0.0,0.0314,140.039,0.136
190,Get The Party Started,67.0,191666.0,0.0012699999999999,0.8059999999999999,0.902,0.0,11.0,0.212,-3.387,0.0,0.0475,128.94299999999998,0.961
